GameDate,GameTime,WeekNumber,GameNumber,HomeTeamNumber,AwayTeamNumber,Location,Latitude,Longitude
11/9/21,3:00:00 AM,1,0,Washington State,Alcorn State,"Pullman,WA",46.7304268,-117.173895
11/9/21,4:30:00 AM,1,1,Villanova,Mt. St Marys,"Bryn Mawr,PA",40.0198335,-75.3046299
11/9/21,5:00:00 AM,1,2,California,UC San Diego,"Berkeley,CA",37.8753497,-122.23963364918777
11/9/21,5:00:00 AM,1,3,South Florida,Bethune Cookman,"Tampa,FL",27.9477595,-82.458444
11/9/21,6:00:00 AM,1,4,Ohio State,Akron,"Columbus,OH",39.9622601,-83.0007065
11/9/21,6:00:00 AM,1,5,VCU,St. Peters,"Richmond,VA",37.5385087,-77.43428
11/9/21,6:00:00 AM,1,6,Winthrop,Mary Baldwin,"Rock Hill,SC",34.9248667,-81.0250784
11/9/21,6:00:00 AM,1,7,Indiana,Eastern Michigan,"Bloomington,IN",39.1670396,-86.5342881
11/9/21,6:30:00 AM,1,8,Connecticut,Central Connecticut St,"Storrs,CT",41.80564555,-72.25413294148728
11/9/21,6:55:00 AM,1,9,Butler,IUPUI,"Indianapolis,IN",39.7683331,-86.1583502
11/9/21,7:00:00 AM,1,10,Arizona State,Portland,"Tempe,AZ",33.4255056,-111.9400091
11/9/21,7:00:00 AM,1,11,Davidson,Delaware,"Davidson,NC",35.4992614,-80.8485218
11/9/21,7:00:00 AM,1,12,Dayton,Illinois Chicago,"Dayton,OH",39.7589478,-84.1916069
11/9/21,7:00:00 AM,1,13,Brown,Salve Regina,"Providence,RI",41.8239891,-71.4128343
11/9/21,7:00:00 AM,1,14,Cincinnati,Evansville,"Cincinnati,OH",39.1014537,-84.5124602
11/9/21,7:00:00 AM,1,15,Eastern Kentucky,Georgetown (KY),"Richmond,KY",37.7478572,-84.2946539
11/9/21,7:00:00 AM,1,16,Rhode Island,Boston University,"Kingston,RI",41.4729285,-71.52234712149811
11/9/21,7:00:00 AM,1,17,Richmond,NC Central,"Richmond,VA",37.5385087,-77.43428
11/9/21,7:00:00 AM,1,18,South Carolina,USC Upstate,"Columbia,SC",34.0007493,-81.0343313
11/9/21,7:00:00 AM,1,19,St. Bonaventure,Siena,"St. Bonaventure,NY",42.0797454,-78.4790768
11/9/21,7:00:00 AM,1,20,Clemson,Presbyterian,"Clemson,SC",34.6850749,-82.8364111
11/9/21,7:00:00 AM,1,21,Furman,North Greenville,"Greenville,SC",34.851354,-82.3984882
11/9/21,7:00:00 AM,1,22,Harvard,Morehouse,"Allston,MA",42.3554344,-71.1321271
11/9/21,7:00:00 AM,1,23,Pittsburgh,Citadel,"Pittsburgh,PA",40.4416941,-79.9900861
11/9/21,7:00:00 AM,1,24,Princeton,Rutgers Camden,"Princeton,NJ",40.34833555,-74.6684230570877
11/9/21,7:00:00 AM,1,25,West Virginia,Oakland (MI),"Morgantown,WV",39.6296809,-79.9559437
11/9/21,7:00:00 AM,1,26,Yale,Vassar,"New Haven,CT",41.3082138,-72.9250518
11/9/21,7:00:00 AM,1,27,East Carolina,South Carolina State,"Greenville,NC",35.613224,-77.3724593
11/9/21,7:00:00 AM,1,28,George Mason,Stony Brook,"Fairfax,VA",38.8462236,-77.3063733
