TeamName,P1PlayerCount,P2PlayerCount,P3PlayerCount
Alabama,2,2,4
Alabama State,0,0,1
Appalachian State,0,0,1
Arizona,1,2,1
Arizona State,1,1,1
Arkansas,0,1,3
Arkansas State,0,0,1
Auburn,2,1,2
BYU,0,0,2
Baylor,3,2,2
Belmont,0,1,3
Binghamton,0,0,1
Boise State,0,0,1
Brown,0,0,1
Buffalo,0,0,3
Butler,0,0,2
CS Fullerton,0,0,1
California,0,0,1
California Baptist,0,0,1
Charlotte,0,0,1
Chattanooga,0,0,1
Cincinnati,0,0,4
Clemson,0,0,1
Coastal Carolina,0,0,1
College of Charleston,0,0,1
Colorado,0,1,1
Colorado State,0,2,0
Connecticut,0,3,2
Creighton,0,0,3
Davidson,0,1,2
Dayton,0,1,3
Depaul,0,3,2
Detroit Mercy,0,1,1
Duke,3,3,1
Duquesne,0,0,1
East Carolina,0,0,1
Eastern Kentucky,0,0,1
Evansville,0,0,1
Florida,1,0,3
Florida A&M,0,0,1
Florida Atlantic,0,0,1
Florida Gulf Coast,0,0,1
Florida State,1,1,2
Fordham,0,0,1
Fresno State,0,1,1
Furman,0,0,1
George Mason,0,0,2
George Washington,0,0,3
Georgetown,0,0,1
Georgia,0,1,0
Georgia Tech,0,1,0
Gonzaga,5,1,1
Grand Canyon,0,1,1
Harvard,0,0,1
Hofstra,0,0,2
Houston,1,0,2
Howard,0,0,1
Illinois,1,2,1
Indiana,2,3,2
Iona,0,0,1
Iowa,1,0,2
Iowa State,0,1,2
James Madison,0,0,1
Kansas,2,0,2
Kansas State,0,0,1
Kentucky,3,3,2
LSU,1,1,2
La Salle,0,1,0
Lamar,0,0,1
Liberty,0,0,1
Louisiana Lafayette,0,1,1
Louisiana Tech,0,0,1
Louisville,0,2,3
Loyola Marymount,0,0,1
Marquette,0,2,1
Marshall,1,0,0
Maryland,0,0,5
Memphis,3,3,3
Miami (FL),0,1,1
Michigan,4,1,2
Michigan State,1,3,4
Mississippi,1,1,0
Mississippi State,0,2,4
Missouri,0,0,1
Missouri State,0,0,1
Murray State,0,0,1
Nebraska,1,0,2
Nevada Reno,0,1,2
North Carolina,0,5,3
North Carolina State,0,1,4
North Dakota State,0,0,1
North Texas,0,0,1
Northern Iowa,0,1,0
Northern Kentucky,0,0,1
Northwestern,0,0,2
Notre Dame,0,0,2
Ohio State,1,1,2
Oklahoma,0,0,1
Oklahoma State,1,3,3
Oral Roberts,1,0,0
Oregon,2,1,2
Oregon State,0,1,1
Penn State,0,1,0
Pittsburgh,0,0,1
Presbyterian,0,0,1
Princeton,0,1,0
Providence,0,0,4
Purdue,1,1,3
Rhode Island,0,1,1
Richmond,0,0,3
Robert Morris (PA),0,0,1
Rutgers,1,1,1
San Diego State,0,0,3
San Francisco,0,0,1
Seton Hall,0,0,5
South Alabama,0,1,0
South Carolina,0,0,3
South Florida,0,0,1
Southern Methodist,0,0,2
Southern Mississippi,0,0,1
St. Bonaventure,0,2,1
St. Johns (NY),0,1,2
St. Louis,0,1,0
Stanford,1,1,1
Stony Brook,0,0,1
Syracuse,1,0,2
TCU,0,2,3
Tennessee,4,0,2
Texas,1,2,3
Texas A&M,0,0,2
Texas Tech,1,0,3
Toledo,0,0,1
UAB,0,0,2
UC Santa Barbara,0,0,1
UCF,0,1,1
UCLA,2,1,4
UNC Greensboro,0,0,1
UNC Wilmington,0,1,0
UNLV,0,2,0
USC,1,2,1
UTEP,0,0,1
UW Milwaukee,1,0,0
Umass,0,0,1
Utah,0,1,3
VCU,0,0,1
Vanderbilt,0,0,2
Villanova,1,3,3
Virginia,0,1,2
Virginia Tech,0,0,2
Wake Forest,0,1,1
Washington,1,0,2
Washington State,1,1,1
West Virginia,0,0,2
Western Kentucky,0,0,2
Wichita State,0,0,2
Winthrop,0,0,1
Wisconsin,0,0,1
Xavier (OH),0,0,2
Yale,0,0,1
